1000 9998
757 348 2
95 332 1
713 265 1
415 320 1
626 859 2
869 546 1
571 146 2
93 453 1
874 885 1
216 622 2
861 463 1
208 885 2
13 554 1
293 49 1
568 810 1
807 377 3
881 819 1
460 919 2
650 270 2
687 847 2
249 532 2
709 849 1
838 308 2
445 369 1
281 137 1
784 659 3
581 163 1
112 544 2
963 44 2
237 718 1
288 618 1
599 310 2
207 708 2
448 423 2
588 569 1
726 200 1
498 890 2
378 465 2
796 692 1
716 695 2
425 706 1
229 505 2
490 840 2
574 928 1
252 138 1
31 980 3
548 921 2
797 635 1
627 411 3
470 552 2
249 714 1
656 570 2
990 898 3
965 124 1
855 542 2
414 487 1
570 334 2
403 119 2
169 854 1
772 122 2
347 69 2
221 41 3
233 680 2
835 940 1
164 516 1
396 541 2
298 971 2
344 739 2
927 499 1
170 185 1
164 14 2
442 636 2
557 418 2
987 484 2
60 369 2
449 176 2
925 562 2
273 714 1
614 667 2
288 759 1
925 120 2
32 883 1
447 679 3
207 998 2
593 145 1
184 717 2
67 995 3
222 815 3
168 85 1
322 785 2
543 193 1
717 299 1
305 961 1
724 500 3
196 207 2
87 847 1
289 838 1
221 731 3
575 859 1
518 278 2
514 446 2
938 509 3
138 2 2
629 451 1
846 569 3
471 955 2
9 353 2
790 706 1
619 794 3
19 345 1
960 282 2
557 718 1
454 224 2
785 305 1
183 895 2
499 206 2
264 112 1
855 511 2
957 401 2
561 731 1
3 350 2
599 685 1
451 843 2
233 581 1
632 985 2
3 76 2
8 821 3
301 710 3
425 537 2
920 108 2
834 823 1
122 754 1
1 961 1
48 196 2
766 701 2
13 492 2
284 824 2
837 45 2
426 57 2
304 799 1
403 637 3
930 218 3
799 391 1
283 383 1
233 621 1
858 838 1
602 671 2
466 663 2
463 701 2
970 71 2
143 202 1
366 208 1
600 235 2
611 434 2
833 419 1
153 573 1
652 531 2
747 752 2
158 749 1
394 247 2
250 723 2
730 728 2
998 283 1
530 799 1
651 335 1
959 209 1
393 129 1
575 835 1
811 480 2
423 53 1
410 62 1
67 5 2
780 106 1
173 742 2
647 272 2
295 603 1
33 690 2
934 699 1
950 66 2
948 575 1
779 589 1
736 994 2
241 1000 1
329 189 1
164 324 3
404 646 2
736 668 3
500 633 1
401 517 1
860 110 2
948 236 1
83 321 2
756 411 1
111 812 1
429 89 2
997 199 1
607 364 1
420 56 1
39 645 2
43 917 2
136 441 1
367 204 2
220 478 1
759 669 1
820 939 1
808 563 2
550 280 2
418 251 1
724 776 1
235 413 1
437 225 2
263 162 1
679 216 1
805 826 1
495 569 2
230 939 1
585 581 1
22 36 1
347 778 1
896 206 1
72 372 1
230 397 2
942 586 2
853 776 1
624 294 1
701 620 2
509 191 1
543 138 2
779 191 1
852 340 1
653 463 2
90 476 1
163 237 1
5 438 3
66 998 1
431 197 2
233 158 2
822 142 2
186 328 1
392 702 1
673 979 1
212 242 1
597 25 1
277 141 1
681 487 1
399 958 1
914 303 3
75 107 2
23 778 1
47 51 3
339 905 2
792 607 1
537 976 1
30 68 1
934 984 1
39 865 2
712 418 2
974 563 1
937 933 3
371 620 1
695 131 2
245 801 1
746 382 1
573 823 1
418 545 1
386 289 2
953 348 1
524 512 2
199 27 1
155 82 1
879 811 2
50 194 1
645 686 2
113 108 2
174 868 3
990 392 2
679 555 3
360 537 1
845 99 1
702 728 3
71 539 1
229 607 1
121 744 2
241 544 2
603 186 1
15 557 1
468 967 1
226 465 3
813 510 1
998 339 1
285 489 2
139 801 2
318 806 2
922 550 1
92 598 1
738 682 2
424 259 2
18 31 2
607 728 1
111 723 2
816 602 2
337 335 2
409 572 1
497 47 2
638 926 3
42 473 2
172 826 2
872 494 1
321 702 1
307 500 2
389 712 1
760 75 1
198 189 2
817 696 2
231 147 1
407 8 2
407 233 1
337 281 1
870 169 1
136 550 2
633 775 2
506 481 1
914 689 2
873 730 2
919 55 3
897 695 1
89 950 1
474 379 3
740 264 2
49 194 2
833 19 2
818 551 2
931 663 2
580 813 1
61 706 2
243 129 2
315 334 3
144 162 2
526 938 1
628 350 2
706 719 1
105 355 1
991 604 2
465 177 2
999 152 2
702 398 2
228 995 3
898 511 2
582 57 2
478 197 1
977 493 3
959 636 2
578 195 2
467 739 1
118 164 1
809 768 1
58 985 1
575 34 3
975 120 3
151 866 2
776 17 2
222 553 1
919 73 2
444 705 2
996 713 1
52 379 2
479 857 3
172 28 1
599 955 2
825 713 2
11 332 2
480 818 1
555 233 1
947 681 2
438 133 2
488 855 1
621 160 2
661 938 1
292 531 1
522 950 2
798 644 1
674 141 1
697 220 2
681 961 1
185 735 2
371 699 2
372 483 1
705 380 3
644 292 1
609 849 2
849 18 2
621 11 2
469 567 2
656 245 1
213 800 2
143 877 1
946 505 1
760 763 1
462 947 2
955 151 2
590 877 2
710 414 3
174 308 1
712 367 2
705 771 2
817 386 2
626 619 3
836 951 1
395 17 1
533 306 2
521 496 1
19 316 1
659 394 1
517 937 2
366 522 2
319 221 1
745 626 2
336 258 2
606 724 2
795 484 1
366 44 2
584 761 2
90 710 1
93 86 1
664 815 2
679 352 3
154 773 3
255 86 1
351 176 2
565 420 2
306 779 2
655 629 2
758 57 1
100 580 1
253 12 1
288 45 1
859 89 3
506 801 2
206 139 1
513 23 1
126 454 2
862 899 1
130 253 1
672 403 2
882 829 1
183 21 1
588 500 1
319 379 2
691 516 1
936 940 1
658 124 1
721 98 1
755 679 2
264 900 1
209 456 1
571 195 1
132 356 2
893 669 1
56 523 2
865 811 3
125 249 1
674 646 1
882 698 1
53 426 1
745 177 1
187 517 2
607 667 2
657 421 1
637 972 2
211 815 2
22 196 2
69 476 1
526 238 2
143 292 1
686 663 2
61 265 1
152 355 1
288 41 1
109 650 2
4 539 2
172 153 2
831 335 1
702 62 1
290 375 2
855 739 1
643 7 1
996 813 1
375 72 2
28 530 2
158 470 1
731 203 2
914 310 1
846 116 2
771 863 2
470 527 2
432 374 2
805 578 2
133 779 1
740 806 2
194 163 1
522 492 3
760 228 3
930 45 2
955 480 2
10 969 2
890 709 3
210 706 2
296 539 2
611 765 2
645 990 2
672 641 2
998 657 1
906 685 1
358 669 2
972 203 2
475 257 1
325 279 2
863 720 1
726 75 1
620 451 1
772 458 1
833 53 2
751 981 3
41 415 1
988 630 2
52 713 3
39 479 1
442 322 1
802 590 1
294 300 1
103 881 1
13 238 2
265 844 2
115 579 2
150 716 1
574 496 1
584 321 2
551 42 2
934 541 1
904 816 3
27 96 2
708 314 1
84 978 1
947 199 2
117 124 3
364 930 3
840 191 1
953 299 3
931 749 1
925 307 2
832 426 1
194 230 1
872 563 2
935 187 2
214 373 2
326 809 1
377 341 2
250 668 2
15 626 2
800 436 2
457 59 1
899 769 2
166 773 1
407 586 3
458 880 1
137 808 1
439 87 1
237 791 2
620 489 1
212 809 1
879 825 3
889 226 2
84 157 2
71 178 1
857 968 2
873 175 1
645 940 2
990 149 1
135 310 2
256 396 1
444 713 1
102 697 1
782 13 2
529 869 3
719 902 3
998 395 2
699 518 2
605 26 3
323 460 2
319 648 1
570 346 3
351 582 1
188 283 1
399 420 3
54 122 1
971 734 2
943 682 1
348 488 1
951 166 2
965 226 1
466 88 2
983 899 2
684 753 1
218 223 2
738 233 1
872 816 1
639 535 2
515 197 1
144 963 1
375 77 2
640 101 1
883 461 2
321 575 2
518 590 2
237 452 3
78 803 2
357 887 2
462 180 1
468 942 1
316 34 2
910 680 2
706 947 1
175 594 1
840 854 1
461 546 2
220 55 2
854 86 1
652 711 1
166 754 3
596 393 1
137 269 1
23 103 1
112 189 3
579 288 2
386 769 2
336 641 1
541 441 1
542 484 1
678 166 2
115 833 2
989 559 1
152 503 1
826 54 1
505 825 1
988 15 2
304 559 1
341 250 2
197 791 2
272 117 1
420 338 2
9 729 1
190 211 2
470 453 1
851 555 2
375 661 2
509 535 2
749 295 2
859 748 1
623 839 1
486 399 1
570 738 2
522 295 2
395 966 1
118 227 2
412 56 2
946 197 2
989 637 2
276 37 3
294 751 2
509 760 2
193 604 1
711 762 2
809 188 2
51 96 2
589 735 2
967 284 2
967 613 1
195 291 1
306 24 2
562 538 1
242 130 2
827 591 1
607 742 1
311 314 2
141 456 2
845 205 1
156 312 2
730 38 2
734 350 2
50 678 1
363 157 2
14 154 3
999 889 2
83 430 1
483 234 1
987 812 1
378 912 3
352 340 2
152 339 2
52 714 2
180 949 2
837 547 1
552 733 2
503 588 1
276 903 1
874 591 1
90 587 2
500 691 2
861 866 1
42 198 2
274 836 2
804 13 3
677 491 1
195 172 1
213 321 3
520 684 3
463 920 2
159 543 2
932 421 1
47 279 2
975 40 2
68 634 1
567 592 1
717 363 2
304 176 1
767 372 2
146 298 2
136 499 1
799 330 1
294 240 2
398 899 1
554 18 3
163 983 3
462 765 1
492 260 2
74 822 2
330 279 2
638 862 2
680 101 1
88 611 1
54 412 2
451 492 2
478 116 3
649 25 2
253 112 2
770 143 1
347 743 2
652 744 1
633 327 2
491 44 2
676 901 1
574 228 2
273 873 1
624 720 2
139 654 1
42 148 2
801 443 1
510 315 2
461 675 2
739 725 1
784 16 1
269 926 1
502 118 2
240 587 1
891 312 2
225 557 1
675 654 1
256 400 1
545 136 2
280 634 3
612 107 1
694 375 2
263 931 2
939 413 2
871 818 2
171 668 1
65 539 1
135 626 2
373 582 2
731 993 2
528 335 2
962 575 3
142 679 2
87 503 2
192 259 1
334 983 2
451 707 2
981 336 2
492 913 2
873 459 2
219 745 1
531 855 2
687 534 2
87 771 3
940 712 2
279 650 2
619 107 2
509 757 1
91 224 1
492 894 2
303 657 2
469 950 2
161 178 2
242 468 2
101 517 2
850 919 2
47 993 2
908 413 2
716 919 1
763 487 2
482 319 1
539 15 2
888 564 2
376 293 1
810 275 1
992 199 1
261 879 2
515 56 2
427 12 2
912 52 1
701 365 1
611 802 1
397 323 1
845 384 1
549 866 2
121 660 1
483 331 1
739 293 2
549 671 2
636 915 2
156 740 3
14 224 1
142 917 1
575 71 3
922 518 3
555 615 2
536 277 1
913 917 3
508 336 2
422 364 1
801 545 2
930 137 1
442 424 2
581 129 1
118 391 2
650 834 2
566 279 2
772 534 2
90 978 1
751 866 3
449 17 2
493 383 1
282 384 2
980 793 1
180 303 1
676 15 2
353 330 2
926 716 1
311 539 1
8 76 2
823 993 1
535 441 2
71 179 1
861 485 2
886 816 2
777 883 2
722 913 3
835 665 1
555 598 2
352 548 2
993 923 2
990 315 3
759 56 1
210 113 1
501 817 2
